"광역시도","시군구","선거인수","투표수","이재명","윤석열","심상정","투표율","electionSum","electionRatio"
"경기도","이천시",187895,137512,63562,67726,2995,0.731855557625269,134283,97.65
"경기도","용인시처인구",220689,162420,80188,75105,3618,0.735967809904436,158911,97.84
"경기도","용인시수지구",304545,250764,113161,128995,5334,0.823405408067773,247490,98.69
"경기도","용인시기흥구",361753,289459,143279,135606,6267,0.800156460347254,285152,98.51
"경기도","안성시",162452,117380,56723,54799,2892,0.72255189225125,114414,97.47
"경기도","김포시",391889,302170,153206,136814,6905,0.771060172650929,296925,98.26
"경기도","포천시",131901,95968,44320,47306,1903,0.727575985019067,93529,97.46
"경기도","연천군",37817,28904,12013,15325,604,0.764312346299283,27942,96.67
"경기도","양평군",106406,83065,34324,45487,1662,0.780642069056256,81473,98.08
"경기도","가평군",55618,42512,16684,23870,872,0.764356862886116,41426,97.45
"강원도","춘천시",243403,186646,82376,94926,5294,0.766818814887245,182596,97.83
"강원도","원주시",302881,226239,100954,113560,6105,0.746956725578693,220619,97.52
"강원도","강릉시",185823,141724,54377,80482,3434,0.762682768010419,138293,97.58
"강원도","동해시",77147,57515,22896,31739,1359,0.745524777373067,55994,97.36
"강원도","삼척시",56233,43642,16297,25308,897,0.776092330126438,42502,97.39
"강원도","태백시",35551,27039,10846,15101,489,0.760569322944502,26436,97.77
"강원도","정선군",32101,24898,10103,13643,494,0.775614466839039,24240,97.36
"강원도","속초시",71571,52516,21713,28342,1230,0.733760880803678,51285,97.66
"강원도","고성군",24668,19218,7433,10840,427,0.779065996432625,18700,97.3
"강원도","양양군",25257,19716,7343,11495,434,0.780615274973275,19272,97.75
"강원도","인제군",27897,21836,8937,11591,501,0.782736494963616,21029,96.3
"강원도","홍천군",60872,46697,18418,25851,1049,0.767134314627415,45318,97.05
"강원도","횡성군",41685,32625,12557,18546,676,0.78265563152213,31779,97.41
"강원도","영월군",34306,26925,10758,14904,536,0.784848131522183,26198,97.3
"강원도","평창군",37325,29353,11463,16571,564,0.786416610850636,28598,97.43
"강원도","화천군",21088,16494,6445,9009,433,0.782150986342944,15887,96.32
"강원도","양구군",18565,14529,5689,7878,387,0.78260166980878,13954,96.04
"강원도","철원군",37248,27846,11039,15194,722,0.747583762886598,26955,96.8
"충청북도","청주시상당구",162949,122198,55852,59685,3548,0.749915617769977,119085,97.45
"충청북도","청주시서원구",165206,124726,56323,61745,3499,0.754972579688389,121567,97.47
"충청북도","청주시흥덕구",223335,163683,76940,77952,4770,0.732903485794882,159662,97.54
"충청북도","청주시청원구",159671,117836,56679,54855,3331,0.737992497072105,114865,97.48
"충청북도","충주시",180976,135848,58801,70382,3270,0.750640968968261,132453,97.5
"충청북도","제천시",114317,87091,36442,46482,1922,0.761837696930465,84846,97.42
"충청북도","단양군",25748,20193,7271,11969,387,0.784255087773808,19627,97.2
"충청북도","영동군",41165,31795,12029,18238,664,0.77237944856067,30931,97.28
"충청북도","보은군",28971,22717,8757,12754,525,0.78412895654275,22036,97
"충청북도","옥천군",44671,34242,14138,18241,864,0.766537574712901,33243,97.08
"충청북도","진천군",71306,51932,25402,23759,1361,0.728297758954366,50522,97.28
"충청북도","괴산군",34819,27419,10304,15895,546,0.78747235704644,26745,97.54
"충청북도","증평군",30953,22653,10215,11264,560,0.731851516815818,22039,97.29
"충청남도","천안시서북구",329610,238154,115553,110141,6568,0.722532690148964,232262,97.53
"충청남도","천안시동남구",216193,157433,71851,77739,4085,0.728205816099504,153675,97.61
"충청남도","공주시",91684,68872,28472,37339,1423,0.751188866105318,67234,97.62
"충청남도","보령시",86253,65715,26207,36419,1367,0.761886543076763,63993,97.38
"충청남도","아산시",265136,192927,93262,89998,4976,0.727652978094261,188236,97.57
"충청남도","서산시",148201,108990,48642,54892,2640,0.73542013886546,106174,97.42
"충청남도","태안군",55320,42028,16678,23511,873,0.759725234996385,41062,97.7
"충청남도","금산군",44799,33699,14002,18178,647,0.752226612201165,32827,97.41
"충청남도","논산시",100285,73512,33822,36203,1601,0.733030862043177,71626,97.43
"충청남도","계룡시",34745,27992,11891,14718,799,0.805641099438768,27408,97.91
"충청남도","당진시",139481,100874,46903,49230,2258,0.723209612778801,98391,97.54
"충청남도","부여군",57573,43975,16813,25136,878,0.76381289840724,42827,97.39
"충청남도","서천군",45997,35136,15443,18168,688,0.763875904950323,34299,97.62
"충청남도","홍성군",84379,62416,25860,33581,1536,0.739710117446284,60977,97.69
"충청남도","청양군",27754,21588,7688,12932,416,0.777833825754846,21036,97.44
"충청남도","예산군",69064,51349,16904,32098,1034,0.743498783736824,50036,97.44
"전라북도","전주시완산구",285828,231447,188693,35152,3907,0.809742222595407,227752,98.4
"전라북도","전주시덕진구",265049,215995,175845,32731,4006,0.814924787492124,212582,98.42
"전라북도","군산시",225149,177339,144395,27400,2613,0.787651732852467,174408,98.35
"전라북도","익산시",239340,189310,154719,28076,3074,0.790966825436617,185869,98.18
"전라북도","정읍시",93594,75092,63487,9085,1040,0.802316387802637,73612,98.03
"전라북도","남원시",69190,56509,47470,7163,731,0.816722069663246,55364,97.97
"전라북도","김제시",72285,58026,48952,7164,750,0.802739157501556,56866,98
"전라북도","완주군",78117,63481,52862,8443,1063,0.812640014337468,62368,98.25
"전라북도","진안군",22568,18855,15637,2572,264,0.835475008862106,18473,97.97
"전라북도","무주군",21244,17429,13292,3426,313,0.820419883261156,17031,97.72
"전라북도","장수군",19371,16230,13564,2063,222,0.837850394920242,15849,97.65
"전라북도","임실군",24186,20057,16930,2416,253,0.829281402464236,19599,97.72
"전라북도","순창군",23847,19879,16980,2211,230,0.833605904306621,19421,97.7
"전라북도","고창군",47655,38707,33000,4335,518,0.812233763508551,37853,97.79
"전라북도","부안군",45702,36856,31037,4572,467,0.806441731215264,36076,97.88
"전라남도","목포시",183659,145187,125790,14936,2021,0.790524831345047,142747,98.32
"전라남도","여수시",237455,189617,162006,21986,2266,0.798538670484934,186258,98.23
"전라남도","순천시",235327,192412,162566,23709,2780,0.817636735266247,189055,98.26
"전라남도","나주시",99117,81076,68994,9512,1019,0.817982788018201,79525,98.09
"전라남도","광양시",126644,100876,81441,15843,1560,0.796532010991441,98844,97.99
"전라남도","담양군",41698,34632,30076,3435,396,0.830543431339633,33907,97.91
"전라남도","장성군",38486,31666,27132,3566,386,0.822792703840358,31084,98.16
"전라남도","곡성군",25143,20717,17472,2380,305,0.823966909278925,20157,97.3
"전라남도","구례군",22770,19132,16137,2352,232,0.840228370663153,18721,97.85
"전라남도","고흥군",57414,47171,40466,5120,507,0.821594036297767,46093,97.71
"전라남도","보성군",35850,29323,25214,3102,322,0.817935843793584,28638,97.66
"전라남도","화순군",55122,45152,39327,4389,475,0.819128478647364,44191,97.87
"전라남도","장흥군",32712,27048,23565,2555,301,0.826852531181218,26421,97.68
"전라남도","강진군",30272,24960,21064,3010,298,0.824524312896406,24372,97.64
"전라남도","완도군",42767,35300,31062,3085,347,0.82540276381322,34494,97.72
"전라남도","해남군",59631,48441,42071,4690,510,0.812345927453841,47271,97.58
"전라남도","진도군",26802,21744,18692,2313,219,0.811282740094023,21224,97.61
"전라남도","영암군",46507,37333,31909,4092,521,0.80273937256757,36522,97.83
"전라남도","무안군",75012,61552,52983,6624,808,0.820562043406388,60415,98.15
"전라남도","영광군",45280,36321,30855,4056,475,0.80214222614841,35386,97.43
"전라남도","함평군",28435,23295,20467,2052,259,0.81923685598734,22778,97.78
"전라남도","신안군",35175,29213,25583,2742,272,0.830504619758351,28597,97.89
"경상북도","포항시북구",232070,183046,45053,130458,3911,0.788753393372689,179422,98.02
"경상북도","포항시남구",197466,152184,38517,106712,3250,0.770684573546838,148479,97.57
"경상북도","울릉군",8141,6653,1590,4815,109,0.81722147156369,6514,97.91
"경상북도","경주시",220573,173759,43031,123196,3380,0.787761874753483,169607,97.61
"경상북도","김천시",120746,95575,22122,69272,1838,0.791537607871068,93232,97.55
"경상북도","안동시",136307,106950,30870,71881,1674,0.784625881282693,104425,97.64
"경상북도","구미시",338810,253211,67054,173950,5537,0.747353974203831,246541,97.37
"경상북도","영주시",89380,70769,17937,50214,1153,0.791776683821884,69304,97.93
"경상북도","영천시",91044,70942,14332,53537,1119,0.779205658802337,68988,97.25
"경상북도","상주시",85100,68459,13660,51935,1097,0.804453584018801,66692,97.42
"경상북도","문경시",63035,49720,9912,37738,808,0.788768144681526,48458,97.46
"경상북도","예천군",47677,39128,9147,28320,653,0.820689221217778,38120,97.42
"경상북도","경산시",230797,176406,40267,128158,3533,0.764334025138975,171958,97.48
"경상북도","청도군",38816,30953,5654,24036,489,0.797428895300907,30179,97.5
"경상북도","고령군",27955,22270,3852,17464,317,0.796637453049544,21633,97.14
"경상북도","성주군",39491,32009,5775,24975,472,0.810539110177002,31222,97.54
"경상북도","칠곡군",96181,71492,17603,50468,1369,0.743306890134226,69440,97.13
"경상북도","군위군",21784,18239,2511,15032,216,0.83726588321704,17759,97.37
